Title,Link,Comments
Postgres IDE in VS Code,https://techcommunity.microsoft.com/blog/adforpostgresql/announcing-a-new-ide-for-postgresql-in-vs-code-from-microsoft/4414648,233 comments
Genetic Boids Web Simulation,https://attentionmech.github.io/genetic-boids/,18 comments
Find Your People,https://foundersatwork.posthaven.com/find-your-people,119 comments
A Formal Proof of Complexity Bounds on Diophantine Equations,https://arxiv.org/abs/2505.16963,2 comments
Show HN: DoubleMemory – more efficient local-first read-it-later app,https://doublememory.com,11 comments
Beyond Semantics: Unreasonable Effectiveness of Reasonless Intermediate Tokens,https://arxiv.org/abs/2505.13775,32 comments
Show HN: I built a more productive way to manage AI chats,https://contextch.at,4 comments
Types of optical systems in a lens designer's toolbox (2020),https://www.pencilofrays.com/lens-design-forms/,6 comments
Caesar's Last Breath,https://charliesabino.com/caesars-last-breath/,46 comments
Emacs dired-mode as a file manager,https://lynn.sh/guix-emacs-file-manager.html,16 comments
The metre originated in the French Revolution,https://www.abc.net.au/news/science/2025-05-20/metre-treaty-anniversary-metric-system-measurement-metrology/105302024,114 comments
Into The Tunnel: The secret life of wind tunnels,https://jordanwtaylor2.substack.com/p/into-the-tunnel,4 comments
John Carmack talk at Upper Bound 2025,https://twitter.com/ID_AA_Carmack/status/1925710474366034326,302 comments
"Show HN: hcker.news – an ergonomic, timeline-based Hacker News front page",https://hcker.news,32 comments
"Positional preferences, order effects, prompt sensitivity undermine AI judgments",https://www.cip.org/blog/llm-judges-are-unreliable,50 comments
Japan and the Birth of Modern Shipbuilding,https://www.construction-physics.com/p/how-japan-invented-modern-shipbuilding,3 comments
How to live on $432 a month in America,https://shagbark.substack.com/p/how-to-live-on-432-a-month-in-america,158 comments
The world of Japan's PC-98 computer,https://strangecomforts.com/the-strange-world-of-japans-pc-98-computer/,discuss
From RPC to transactions and durable executions,https://www.pramodb.com/index.php/2025/05/21/from-rpc-to-transactions-and-durable-executions/,discuss
MCP is the coming of Web 2.0 2.0,https://www.anildash.com//2025/05/20/mcp-web20-20/,130 comments
Why I no longer have an old-school cert on my HTTPS site,https://rachelbythebay.com/w/2025/05/22/ssl/,202 comments
Designing type inference for high quality type errors,https://blog.polybdenum.com/2025/02/14/designing-type-inference-for-high-quality-type-errors.html,12 comments
Sesame Scheme: Unintended Consequences of Allergen Food Labeling,https://www.choicesmagazine.org/choices-magazine/submitted-articles/unintended-consequences-of-allergen-food-labeling,20 comments
The Transwedge Product,https://terathon.com/blog/transwedge-product.html,1 comment
Remembering Alasdair MacIntyre,https://www.wordonfire.org/articles/remembering-alasdair-macintyre-1929-2025/,48 comments
UndoDB – The interactive time travel debugger for Linux C/C++ for debugging,https://undo.io/,discuss
Writing A Job Runner (In Elixir) (Again) (10 years later),https://github.com/notactuallytreyanastasio/genstage_tutorial_2025/blob/main/README.md,28 comments
Christopher Hill's History from Below,https://www.thenation.com/article/society/christopher-hill-life-of/,discuss
"Show HN: Samchika – A Java Library for Fast, Multithreaded File Processing",https://github.com/MayankPratap/Samchika,43 comments
Attention Wasn't All We Needed,https://www.stephendiehl.com/posts/post_transformers/,13 comments
